snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,reserved-quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-365-plus-days,estimated-ais-365-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply
2024-06-22,JD-N5A3-8JNL,X0GYRVTW2R,B0V6RMGHM6,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Black, Red and Grey Colors | Classic Size (US Mens Shoe 7-11)",New,15,0,0,0,0,1,14,USD,2.0,2.0,10.0,10.0,Low traffic,47.63,0.0,45.6,0.0,AlreadyOnAdvertisedCampaign,,0.0,0.0,0.0,260.03,0.49,0.072561,cubic feet,Apparel,1.088415,US,gl_apparel,455360.0,162,14,30.0,19.0,47.85,92.36,89.79,302.24,305.07,0,0,0,1,0,7.62,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,14.0,7.04,188.2,4.0,Excess,,,2024-06-24,Yes,No,127.4,188.2
2024-06-18,WH-77OR-7H40,X086QERN5L,B0995X7I2S,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Blue and Green Space Themed Designs | Classic Size (US Mens Shoe 7-11)",New,17,0,0,0,1,1,18,USD,3.0,5.0,5.0,6.0,Low traffic,42.55,0.0,21.63,0.0,Advertise listing,,0.0,0.0,0.0,536.23,0.14,0.111246,cubic feet,Apparel,1.891182,US,gl_apparel,376110.0,325,17,13.0,36.0,22.21,68.03,134.54,144.56,183.35,0,0,0,2,0,13.78,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,0.0,0.0,18.0,13.01,188.2,2.0,Excess,,,2024-06-24,Yes,No,127.4,188.2
2024-06-21,VH-IXYU-4X8T,X0CH5E6PT1,B0392FJD8Y,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Blue, Red, Gray, Brown Stripes | Classic Size (US Mens Shoe 7-11)",New,11,0,11,0,0,0,0,USD,1.0,4.0,10.0,12.0,Low traffic,43.36,0.0,46.01,0.0,SendToFBA,,0.0,0.0,0.0,0.0,1.93,0.079517,cubic feet,Apparel,0.874687,US,gl_apparel,330935.0,90,0,11.0,11.0,44.34,31.58,166.7,396.39,509.27,11,0,0,0,0,0.49,0,0,0,0,,0,0,,,,,,,,,,,,,,,162.0,13.0,Low stock,13.0,2024-07-01,2024-06-24,Yes,No,162.0,100.4
2024-06-22,UO-0Y44-091Z,X05EVG81JM,B0Y7JN3SVD,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Elegant Striped Patterns | Big and Tall Size (US Mens Shoe 12-16)",,8,0,30,0,0,0,0,USD,0.0,0.0,4.0,11.0,Low traffic,,,101.17,-1.0,Edit listing,,,,,,0.84,0.179443,cubic feet,Apparel,1.435544,US,gl_apparel,,316,0,,9.0,94.71,0.0,0.0,398.22,1037.56,30,0,0,0,0,,0,0,0,0,,22,0,,,,,,,,,,,,,,,101.2,11.0,Healthy,,,2024-06-24,Yes,No,101.2,75.6
2024-06-21,RY-IYDC-2F96,X0981BHVHS,B0OJRCPBXE,"SockBrand Crew Socks for Men (9 Pairs) | 100% Cotton Socks for Men, Short Socks for Men, Mid Calf Socks in Patterns, Argyles and Solids | Big and Tall Size (US Mens Shoe 12-16)",New,12,0,12,0,0,0,0,USD,1.0,2.0,6.0,7.0,Low traffic,83.93,0.0,84.23,0.0,Advertise listing,,0.0,0.0,0.0,538.76,0.9,0.174011,cubic feet,Apparel,2.088132,US,gl_apparel,279592.0,238,12,24.0,22.0,78.3,85.78,157.56,395.36,460.28,12,0,0,0,0,0.82,0,0,0,0,,0,0,,,,,,,,,,,,,,,302.2,2.0,Excess,,,2024-06-24,Yes,No,302.2,279.3
2024-06-21,KN-A2R1-4XFY,X0AQR3M6IA,B0SLOUA2HH,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Gray, Black, Red, Yellow, Blue | Big and Tall Size (US Mens Shoe 12-16)",New,5,0,0,0,6,0,0,USD,1.0,2.0,3.0,8.0,Low traffic,50.92,0.0,52.46,0.0,Create Outlet deal,,23.0,2.0,0.0,298.08,0.8,0.075892,cubic feet,Apparel,0.37946,US,gl_apparel,312556.0,111,5,10.0,8.0,51.7,50.17,104.44,144.2,373.13,0,0,0,6,0,0.35,0,0,0,0,,0,1,,,,,,,,,,,,,,,135.0,4.0,Excess,2.0,2024-07-01,2024-06-24,Yes,No,90.5,135.0
2024-06-21,RZ-ZQ03-DUXI,X0QG837H56,B0Y6UFX6GL,Blue Toe Over the Calf Mens Dress Socks (3 Pairs) | Double Reinforced Toe and Heel | Light Compression Socks for Men in Brown Color with Bright Blue Toes | Big and Tall Size (US Mens Shoe 12-16),New,17,0,17,0,0,0,0,USD,,,,,Low traffic,35.21,0.0,35.82,0.0,Advertise listing,,0.0,0.0,0.0,504.23,0.0,0.048611,cubic feet,Apparel,0.826387,US,gl_apparel,,999,0,,,32.24,,,,,0,0,17,0,0,0.57,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-21,TW-7GTH-A7JN,X0K3NGYMKX,B0K67YZ5VY,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Travel Themed Patterns | Classic Size (US Mens Shoe 7-11)",New,23,0,23,0,0,0,0,USD,0.0,3.0,7.0,7.0,Low traffic,94.36,0.0,98.24,0.0,Advertise listing,,45.89,2.0,0.0,5803.44,0.36,0.181043,cubic feet,Apparel,4.163989,US,gl_apparel,564621.0,366,0,30.0,42.0,95.16,0.0,273.45,670.6,654.07,0,0,23,0,0,11.03,0,0,0,0,,0,0,,,,,,,,,,,,,,,176.2,3.0,Healthy,,,2024-06-24,Yes,No,176.2,131.6
2024-06-19,HB-N38P-NXR2,X0XABTDD78,B0JMAMD025,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Patterns, Stripes and Solids | Classic Size (US Mens Shoe 7-11)",New,28,0,28,0,0,0,0,USD,0.0,1.0,2.0,7.0,Low traffic,86.72,0.0,94.58,0.0,Advertise listing,,41.42,2.0,0.0,3869.3,0.66,0.183563,cubic feet,Other,5.139764,US,gl_apparel,643011.0,366,0,112.0,52.0,90.2,0.0,85.28,180.89,580.61,0,28,0,0,0,7.14,0,0,0,0,,0,0,,,,,,,,,,,,,,,151.8,,,,,2024-06-24,Yes,No,151.8,119.8
2024-06-22,PG-XJ2J-JLD5,X0Z7Y7ANNM,B0E4B7H2BS,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Music Themed Designs | Classic Size (US Mens Shoe 7-11)",New,16,0,0,0,0,3,13,USD,1.0,2.0,4.0,6.0,Low traffic,48.06,0.0,43.09,0.0,AlreadyOnAdvertisedCampaign,,0.0,0.0,0.0,502.08,0.32,0.060785,cubic feet,Apparel,0.97256,US,gl_apparel,451540.0,326,16,32.0,34.0,44.99,41.57,85.41,181.44,273.17,0,0,0,1,2,7.81,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37,15.0,5.99,188.2,2.0,Excess,,,2024-06-24,Yes,No,127.4,188.2
2024-06-18,DO-Y58S-CQTR,X0JL087OVI,B0C5ICA6RT,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Outer Space and Music Themes | Classic Size (US Mens Shoe 7-11)",New,25,0,25,0,0,0,0,USD,2.0,5.0,5.0,7.0,Low traffic,86.72,0.0,92.39,0.0,Advertise listing,,0.0,0.0,0.0,2262.66,0.5,0.172795,cubic feet,Apparel,4.319875,US,gl_apparel,702674.0,366,0,20.0,46.0,91.37,166.68,433.57,424.77,638.34,0,25,0,0,0,7.05,0,0,0,0,,0,0,,,,,,,,,,,,,,,151.8,3.0,Healthy,,,2024-06-24,Yes,No,151.8,119.8
2024-06-21,BN-E6ZR-X3RB,X0L6TDR2YE,B02WJCFPJ8,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Elegant Striped Patterns | Big and Tall Size (US Mens Shoe 12-16)",New,10,0,1,0,0,10,0,USD,0.0,3.0,4.0,4.0,Low traffic,47.91,0.0,46.76,0.0,Create Outlet deal,,23.8,2.0,0.0,502.52,0.28,0.089334,cubic feet,Apparel,0.89334,US,gl_apparel,299863.0,149,10,13.0,32.0,53.48,0.0,150.36,193.56,210.48,0,1,0,10,0,5.67,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.42,0.0,0.0,135.0,2.0,Excess,,,2024-06-24,Yes,No,90.5,135.0
2024-06-19,DQ-57XK-6R7I,X0NLHI4T2O,B0HK2R5ZFJ,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Blue, Orange, Grey, Pink Argyles | Classic Size (US Mens Shoe 7-11)",New,9,0,0,0,1,1,7,USD,0.0,1.0,11.0,11.0,Low traffic,44.11,0.0,47.28,0.0,AlreadyOnAdvertisedCampaign,,0.0,0.0,0.0,391.76,0.75,0.073774,cubic feet,Apparel,0.663966,US,gl_apparel,390194.0,200,9,36.0,10.0,44.38,0.0,44.98,251.65,272.56,0,0,0,1,1,4.54,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.18,188.2,4.0,Excess,,,2024-06-24,Yes,No,127.4,188.2
2024-06-21,SQ-PWSD-WVG7,X04AMGJ0G5,B086LYPP3F,Blue Toe Over the Calf Mens Dress Socks (3 Pairs) | Double Reinforced Toe and Heel | Light Compression Socks for Men in Black and Bright Blue Toes and Heels | Big and Tall Size (US Mens Shoe 12-16),New,11,0,5,6,0,0,0,USD,,,,,Low traffic,46.75,0.0,45.86,0.0,Advertise listing,,0.0,0.0,0.0,406.72,0.0,0.048611,cubic feet,Apparel,0.534721,US,gl_apparel,,999,0,,,43.15,,,,,0,0,5,0,0,0.38,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,YH-ART8-YTOI,X0U5ACB9QC,B0A03F16YK,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Elegant Multicolor Stripes | Big and Tall Size (US Mens Shoe 12-16)",New,7,0,0,1,7,0,0,USD,0.0,0.0,1.0,2.0,Low traffic,49.29,0.0,46.0,0.0,Create Outlet deal,,25.8,2.0,0.0,365.82,0.24,0.072074,cubic feet,Apparel,0.504518,US,gl_apparel,455864.0,167,7,,45.0,47.44,0.0,0.0,52.46,103.78,0,0,0,7,0,0.42,0,0,0,0,,0,0,,,,,,,,,,,,,,,188.2,1.0,Excess,,,2024-06-24,Yes,No,127.4,188.2
2024-06-22,KI-XW7J-W0PE,X0KMJLIIPE,B0GEVNF21U,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Yellow, Pink, Burgundy Polka Dots | Big and Tall Size (US M Shoe 12-16)",New,3,0,2,0,3,0,0,USD,2.0,3.0,7.0,9.0,Low traffic,51.87,0.0,48.64,0.0,Create Outlet deal,,22.99,2.0,0.0,231.33,1.11,0.067897,cubic feet,Apparel,0.203691,US,gl_apparel,416913.0,99,5,4.0,4.0,49.12,100.02,142.14,303.87,376.03,2,0,0,3,0,0.26,0,0,0,0,,2,0,,,,,,,,,,,,,,,188.2,2.0,Excess,,,2024-06-24,Yes,No,127.4,188.2
2024-06-21,DA-POUS-DZAH,X0V3GWYLNF,B0XKHR40BZ,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men | Bikes, Elephants, and Flamingos | Classic Size (US Mens Shoe 7-11)",New,4,0,8,0,5,0,0,USD,1.0,6.0,9.0,13.0,Low traffic,47.79,0.0,46.01,0.0,Create Outlet deal,,23.83,2.0,0.0,430.2,0.87,0.072207,cubic feet,Apparel,0.288828,US,gl_apparel,334205.0,124,12,2.0,4.0,46.39,47.24,281.0,431.76,591.08,8,0,0,5,0,0.7,0,0,0,0,,8,0,,,,,,,,,,,,,,,135.0,8.0,Excess,3.0,2024-07-01,2024-06-24,Yes,No,90.5,135.0
2024-06-21,XU-CKXP-CNT0,X0W91HPSK8,B0BOAMRVZP,Blue Toe Over the Calf Mens Dress Socks (3 Pairs) | Double Reinforced Toe and Heel | Light Compression Socks for Men in Brown with Bright Blue Toes and Heels | Classic Size (US Mens Shoe 7-11),New,15,0,15,0,0,0,0,USD,,,,,Low traffic,48.55,0.0,46.29,0.0,Advertise listing,,0.0,0.0,0.0,545.99,0.0,0.048611,cubic feet,Apparel,0.729165,US,gl_apparel,,999,0,,,42.47,,,,,0,0,15,0,0,0.51,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-21,FV-GY41-EBIB,X05QI1SZ58,B0U17I0502,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Black and Gray Solids | Classic Size (US Mens Shoe 7-11)",New,32,0,0,1,0,31,0,USD,0.0,5.0,5.0,6.0,Low traffic,105.78,0.0,108.51,0.0,Create Outlet deal,,47.72,2.0,0.0,3319.51,0.17,0.092426,cubic feet,Apparel,2.957632,US,gl_apparel,473545.0,366,32,25.0,69.0,102.03,0.0,453.23,421.52,483.58,0,0,0,31,0,25.8,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,30.0,17.31,0.0,0.0,154.0,2.0,Excess,,,2024-06-24,Yes,No,154.0,82.3
2024-06-19,IS-7ZTF-8RT7,X02HTZG9J4,B0NM4YO6UA,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men | Shamrocks, Martini, Birds Designs | Classic Size (US Mens Shoe 7-11)",New,9,0,4,0,7,0,0,USD,3.0,4.0,8.0,20.0,Low traffic,47.53,0.0,48.0,0.0,SendToFBA,,23.31,2.0,0.0,55.07,1.1,0.081235,cubic feet,Apparel,0.731115,US,gl_apparel,338302.0,72,0,9.0,5.0,42.18,140.0,179.49,319.8,721.1,0,4,0,7,0,0.66,0,0,0,0,,1,0,,,,,,,,,,,,,,,135.0,14.0,Low stock,13.0,2024-07-02,2024-06-24,Yes,No,90.5,135.0
2024-06-21,LX-KUB0-MAH2,X0ADADCC07,B08L0EG952,SockBrand Over the Calf Socks for Men (3 pairs) | Cotton Over the Calf Dress Socks | Long Socks Stay up 12+ hours,,9,0,10,0,0,0,0,USD,0.0,0.0,0.0,2.0,Low traffic,,,46.95,-1.0,Edit listing,,,,,,0.67,0.061049,cubic feet,Apparel,0.549441,US,gl_apparel,,158,0,,58.0,49.18,0.0,0.0,0.0,105.89,10,0,0,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,,,162.0,2.0,Healthy,,,2024-06-24,Yes,No,162.0,100.4
2024-06-21,VE-TH09-MTEQ,X0232GNBGH,B0ALZWJEDA,SockBrand Over the Calf Socks for Men (9 pairs) | Cotton Over the Calf Dress Socks | Long Socks Stays up12+ hr| Double Comfort Elastic Casual Socks | Multi Fashion Pattern Socks | Size 7-11 |12-16,,6,0,10,0,0,0,0,USD,0.0,0.0,0.0,0.0,Low traffic,,,117.75,-1.0,Edit listing,,,,,,0.0,0.163263,cubic feet,Apparel,0.979578,US,gl_apparel,655042.0,81,0,,,98.0,0.0,0.0,0.0,0.0,10,0,0,0,0,,0,0,0,0,,2,0,,,,,,,,,,,,,,,101.2,1.0,Healthy,,,2024-06-24,Yes,No,101.2,75.6
2024-06-21,BM-33D6-E9EY,X0Q7MYXLBH,B0O5CJE9EP,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Black, Red and Grey Colors | Big and Tall Size (US Mens Shoe 12-16)",New,5,0,0,0,0,1,4,USD,1.0,1.0,1.0,1.0,Low traffic,49.36,0.0,47.63,0.0,Create Outlet deal,,24.43,2.0,0.0,182.57,0.17,0.031257,cubic feet,Apparel,0.156285,US,gl_apparel,4037867.0,127,5,20.0,65.0,50.82,47.05,50.73,46.59,46.15,0,0,0,0,1,1.21,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17,4.0,0.82,535.0,2.0,Excess,,,2024-06-24,Yes,No,175.0,535.0
